weight,roi,ROIweight,from,to,name.from,name.to,type.from,type.to,databaseType.to,databaseType.from,totalWeight,weightRelativeTotal,totalPreWeight,outputContributionTotal,weightROIRelativeTotal,totalPreROIweight,totalROIweight,weightRelative,outputContribution,supertype1.to,supertype1.from,supertype2.to,supertype2.from,supertype3.to,supertype3.from
10,EB,10,387364605,1167641412,EPG(PB08)_L3,ER4m(ring)_L,EPG_L,ER4m_L,ER4m,EPG,1506,0.006640106241699867,3725,0.0026845637583892616,0.006640106241699867,1789,1504,0.006648936170212766,0.005589714924538848,ER4,EPG,ER,EPG,ER,EB Columnar
10,EB,10,1167995070,5813049948,EPG(PB08)_L8,ER4m(ring)_L,EPG_L,ER4m_L,ER4m,EPG,1563,0.006397952655150352,3026,0.003304692663582287,0.006397952655150352,1321,1562,0.006402048655569782,0.00757002271006813,ER4,EPG,ER,EPG,ER,EB Columnar
10,EB,10,387364605,5813049948,EPG(PB08)_L3,ER4m(ring)_L,EPG_L,ER4m_L,ER4m,EPG,1563,0.006397952655150352,3725,0.0026845637583892616,0.006397952655150352,1789,1562,0.006402048655569782,0.005589714924538848,ER4,EPG,ER,EPG,ER,EB Columnar
10,EB,10,5813077544,1198671494,EPG(PB08)_R1,ER4m(ring)_L,EPG_R,ER4m_L,ER4m,EPG,1557,0.006422607578676943,3461,0.002889338341519792,0.006422607578676943,1841,1554,0.006435006435006435,0.005431830526887561,ER4,EPG,ER,EPG,ER,EB Columnar
10,EB,10,5813022281,5813047793,EPG(PB08)_L4,ER4m(ring)_L,EPG_L,ER4m_L,ER4m,EPG,1530,0.006535947712418301,3208,0.003117206982543641,0.006535947712418301,1302,1522,0.006570302233902759,0.007680491551459293,ER4,EPG,ER,EPG,ER,EB Columnar
10,EB,10,1447576662,5813047793,EPG(PB08)_L1,ER4m(ring)_L,EPG_L,ER4m_L,ER4m,EPG,1530,0.006535947712418301,3842,0.0026028110359187923,0.006535947712418301,1759,1522,0.006570302233902759,0.005685048322910745,ER4,EPG,ER,EPG,ER,EB Columnar
10,EB,10,1168664495,5813047793,EPG(PB08)_L8,ER4m(ring)_L,EPG_L,ER4m_L,ER4m,EPG,1530,0.006535947712418301,2955,0.00338409475465313,0.006535947712418301,1350,1522,0.006570302233902759,0.007407407407407408,ER4,EPG,ER,EPG,ER,EB Columnar
10,EB,10,1002507159,1167645442,EPG(PB08)_R7,ER4m(ring)_R,EPG_R,ER4m_R,ER4m,EPG,1675,0.005970149253731343,3052,0.00327653997378768,0.005970149253731343,1591,1484,0.006738544474393531,0.006285355122564425,ER4,EPG,ER,EPG,ER,EB Columnar
10,EB,10,910438331,1167645442,EPG(PB08)_R6,ER4m(ring)_R,EPG_R,ER4m_R,ER4m,EPG,1675,0.005970149253731343,2666,0.0037509377344336083,0.005970149253731343,1415,1484,0.006738544474393531,0.007067137809187279,ER4,EPG,ER,EPG,ER,EB Columnar
10,EB,10,758419409,1167645442,EPG(PB08)_L3,ER4m(ring)_R,EPG_L,ER4m_R,ER4m,EPG,1675,0.005970149253731343,3370,0.002967359050445104,0.005970149253731343,1603,1484,0.006738544474393531,0.006238303181534623,ER4,EPG,ER,EPG,ER,EB Columnar
