weight,roi,ROIweight,from,to,name.from,name.to,type.from,type.to,databaseType.to,databaseType.from,totalWeight,weightRelativeTotal,totalPreWeight,outputContributionTotal,weightROIRelativeTotal,totalPreROIweight,totalROIweight,weightRelative,outputContribution,supertype1.to,supertype1.from,supertype2.to,supertype2.from,supertype3.to,supertype3.from
49,EB,49,5813049948,1447576662,ER4m(ring)_L,EPG(PB08)_L1,ER4m_L,EPG_L,EPG,ER4m,5107,0.00959467397689446,4309,0.01137154792295196,0.00959467397689446,4309,4615,0.010617551462621885,0.01137154792295196,EPG,ER4,EPG,ER,EB Columnar,ER
49,EB,49,1167645442,387364605,ER4m(ring)_R,EPG(PB08)_L3,ER4m_R,EPG_L,EPG,ER4m,4348,0.011269549218031279,4226,0.01159488878371983,0.011269549218031279,4217,3892,0.012589928057553957,0.011619634811477354,EPG,ER4,EPG,ER,EB Columnar,ER
49,EB,49,1198326456,910438331,ER4m(ring)_R,EPG(PB08)_R6,ER4m_R,EPG_R,EPG,ER4m,3738,0.013108614232209739,4285,0.011435239206534423,0.013108614232209739,4271,3481,0.01407641482332663,0.011472723015687194,EPG,ER4,EPG,ER,EB Columnar,ER
49,EB,49,1198326456,572870540,ER4m(ring)_R,EPG(PB08)_L1,ER4m_R,EPG_L,EPG,ER4m,4957,0.009885011095420617,4285,0.011435239206534423,0.009885011095420617,4271,4430,0.011060948081264108,0.011472723015687194,EPG,ER4,EPG,ER,EB Columnar,ER
49,EB,49,1292847181,1002852791,ER4m(ring)_R,EPG(PB08)_R7,ER4m_R,EPG_R,EPG,ER4m,4112,0.011916342412451361,4263,0.011494252873563218,0.011916342412451361,4251,3834,0.01278038601982264,0.011526699600094096,EPG,ER4,EPG,ER,EB Columnar,ER
48,EB,48,5813049948,1168664495,ER4m(ring)_L,EPG(PB08)_L8,ER4m_L,EPG_L,EPG,ER4m,3858,0.012441679626749611,4309,0.011139475516361104,0.012441679626749611,4309,3529,0.013601586851799376,0.011139475516361104,EPG,ER4,EPG,ER,EB Columnar,ER
48,EB,48,1167645442,942491983,ER4m(ring)_R,EPG(PB08)_R6,ER4m_R,EPG_R,EPG,ER4m,3575,0.013426573426573427,4226,0.011358258400378608,0.013426573426573427,4217,3256,0.014742014742014743,0.01138249940716149,EPG,ER4,EPG,ER,EB Columnar,ER
48,EB,48,1167645442,694920753,ER4m(ring)_R,EPG(PB08)_R5,ER4m_R,EPG_R,EPG,ER4m,3439,0.01395754579819715,4226,0.011358258400378608,0.01395754579819715,4217,3207,0.014967259120673527,0.01138249940716149,EPG,ER4,EPG,ER,EB Columnar,ER
48,EB,48,1167645442,910438331,ER4m(ring)_R,EPG(PB08)_R6,ER4m_R,EPG_R,EPG,ER4m,3738,0.012841091492776886,4226,0.011358258400378608,0.012841091492776886,4217,3481,0.013789141051422005,0.01138249940716149,EPG,ER4,EPG,ER,EB Columnar,ER
48,EB,48,5813050767,942491983,ER4m(ring)_R,EPG(PB08)_R6,ER4m_R,EPG_R,EPG,ER4m,3575,0.013426573426573427,4184,0.011472275334608031,0.013426573426573427,4163,3256,0.014742014742014743,0.011530146528945472,EPG,ER4,EPG,ER,EB Columnar,ER
48,EB,48,5813050767,1034219901,ER4m(ring)_R,EPG(PB08)_R7,ER4m_R,EPG_R,EPG,ER4m,4020,0.011940298507462687,4184,0.011472275334608031,0.011940298507462687,4163,3813,0.012588512981904013,0.011530146528945472,EPG,ER4,EPG,ER,EB Columnar,ER
48,EB,48,1292847181,387364605,ER4m(ring)_R,EPG(PB08)_L3,ER4m_R,EPG_L,EPG,ER4m,4348,0.011039558417663294,4263,0.011259676284306826,0.011039558417663294,4251,3892,0.012332990750256937,0.011291460832745237,EPG,ER4,EPG,ER,EB Columnar,ER
48,EB,48,1292847181,1447576662,ER4m(ring)_R,EPG(PB08)_L1,ER4m_R,EPG_L,EPG,ER4m,5107,0.009398864303896613,4263,0.011259676284306826,0.009398864303896613,4251,4615,0.010400866738894909,0.011291460832745237,EPG,ER4,EPG,ER,EB Columnar,ER
47,EB,47,1167977970,632544268,ER4m(ring)_L,EPG(PB08)_R2,ER4m_L,EPG_R,EPG,ER4m,3951,0.011895722601872943,4439,0.010587970263572877,0.011895722601872943,4439,3663,0.01283101283101283,0.010587970263572877,EPG,ER4,EPG,ER,EB Columnar,ER
47,EB,47,1167977970,416642425,ER4m(ring)_L,EPG(PB08)_R4,ER4m_L,EPG_R,EPG,ER4m,3833,0.012261935820506132,4439,0.010587970263572877,0.012261935820506132,4439,3482,0.013497989661114302,0.010587970263572877,EPG,ER4,EPG,ER,EB Columnar,ER
