Type,Simpletype,X index,color name,hex
EPG,no,,orange,#FFA500
EPGt,no,X24,navajowhite,#FFDEAD
PEG,no,,indianred1,#FF6A6A
PEN_a(PEN1),no,,violetred4,#8B2252
PEN_b(PEN2),no,,violetred1,#FF3E96
EL,no,X16,,#ff0000
EPG,yes,,orange,#FFA500
EPGt,yes,X24,navajowhite,#FFDEAD
PEG,yes,,indianred1,#FF6A6A
PEN,yes,X8,violetred3,#CD3278
EL,yes,X16,,#ff0000
